Using normal distribution initialization with 24,60, sigmoid and ZCA

/usr/bin/python /Users/Dipendra/MLearning/Kaggle/CIFAR-10/convolutional_mlp.py
... loading data
... building the model
epoch 89, minibatch 400/400, validation error 39.340000 %
epoch 90, minibatch 400/400, validation error 39.960000 %
epoch 91, minibatch 400/400, validation error 39.670000 %
epoch 92, minibatch 400/400, validation error 39.270000 %
epoch 93, minibatch 400/400, validation error 39.330000 %
epoch 94, minibatch 400/400, validation error 39.050000 %
epoch 95, minibatch 400/400, validation error 38.680000 %
     epoch 95, minibatch 400/400, test error of best model 39.740000 %
epoch 96, minibatch 400/400, validation error 39.950000 %
epoch 97, minibatch 400/400, validation error 39.010000 %
epoch 98, minibatch 400/400, validation error 39.510000 %
epoch 99, minibatch 400/400, validation error 39.480000 %
epoch 100, minibatch 400/400, validation error 39.390000 %
epoch 101, minibatch 400/400, validation error 39.760000 %
epoch 102, minibatch 400/400, validation error 39.720000 %
epoch 103, minibatch 400/400, validation error 40.050000 %
epoch 104, minibatch 400/400, validation error 39.290000 %
epoch 105, minibatch 400/400, validation error 39.800000 %
epoch 106, minibatch 400/400, validation error 39.890000 %
epoch 107, minibatch 400/400, validation error 39.200000 %
epoch 108, minibatch 400/400, validation error 39.340000 %
epoch 109, minibatch 400/400, validation error 39.320000 %
epoch 110, minibatch 400/400, validation error 40.100000 %
epoch 111, minibatch 400/400, validation error 40.000000 %
epoch 112, minibatch 400/400, validation error 39.860000 %
epoch 113, minibatch 400/400, validation error 39.430000 %
epoch 114, minibatch 400/400, validation error 39.610000 %
epoch 115, minibatch 400/400, validation error 39.060000 %
epoch 116, minibatch 400/400, validation error 38.820000 %
epoch 117, minibatch 400/400, validation error 39.420000 %
epoch 118, minibatch 400/400, validation error 39.500000 %
epoch 119, minibatch 400/400, validation error 39.360000 %
epoch 120, minibatch 400/400, validation error 39.300000 %
epoch 121, minibatch 400/400, validation error 39.870000 %
epoch 122, minibatch 400/400, validation error 38.960000 %
epoch 123, minibatch 400/400, validation error 39.370000 %
epoch 124, minibatch 400/400, validation error 39.640000 %
epoch 125, minibatch 400/400, validation error 39.670000 %
epoch 126, minibatch 400/400, validation error 39.700000 %
