/usr/bin/python /Users/Dipendra/MLearning/Kaggle/CIFAR-10/convolutional_mlp.py
... loading data
... building the model
... training
epoch 86, minibatch 400/400, validation error 37.390000 %
epoch 87, minibatch 400/400, validation error 38.280000 %
epoch 88, minibatch 400/400, validation error 37.480000 %
epoch 89, minibatch 400/400, validation error 37.250000 %
epoch 90, minibatch 400/400, validation error 37.770000 %
epoch 91, minibatch 400/400, validation error 37.520000 %
epoch 92, minibatch 400/400, validation error 37.510000 %
epoch 93, minibatch 400/400, validation error 37.420000 %
epoch 94, minibatch 400/400, validation error 37.290000 %
epoch 95, minibatch 400/400, validation error 37.510000 %
epoch 96, minibatch 400/400, validation error 37.550000 %
epoch 97, minibatch 400/400, validation error 36.930000 %
     epoch 97, minibatch 400/400, test error of best model 38.670000 %
epoch 98, minibatch 400/400, validation error 37.810000 %
epoch 99, minibatch 400/400, validation error 37.780000 %
epoch 100, minibatch 400/400, validation error 37.520000 %
epoch 101, minibatch 400/400, validation error 37.820000 %
epoch 102, minibatch 400/400, validation error 38.320000 %
epoch 103, minibatch 400/400, validation error 37.530000 %
epoch 104, minibatch 400/400, validation error 38.210000 %
epoch 105, minibatch 400/400, validation error 37.170000 %
epoch 106, minibatch 400/400, validation error 37.330000 %
epoch 107, minibatch 400/400, validation error 37.070000 %
epoch 108, minibatch 400/400, validation error 37.510000 %
epoch 109, minibatch 400/400, validation error 37.060000 %
epoch 110, minibatch 400/400, validation error 37.740000 %
epoch 111, minibatch 400/400, validation error 37.700000 %
epoch 112, minibatch 400/400, validation error 37.850000 %
epoch 113, minibatch 400/400, validation error 36.930000 %
epoch 114, minibatch 400/400, validation error 37.370000 %
epoch 115, minibatch 400/400, validation error 37.340000 %
epoch 116, minibatch 400/400, validation error 37.620000 %
epoch 117, minibatch 400/400, validation error 37.170000 %
epoch 118, minibatch 400/400, validation error 37.450000 %
epoch 119, minibatch 400/400, validation error 37.160000 %
epoch 120, minibatch 400/400, validation error 36.890000 %
     epoch 120, minibatch 400/400, test error of best model 38.100000 %
epoch 121, minibatch 400/400, validation error 37.330000 %
epoch 122, minibatch 400/400, validation error 37.600000 %
epoch 123, minibatch 400/400, validation error 37.550000 %
epoch 124, minibatch 400/400, validation error 37.490000 %
epoch 125, minibatch 400/400, validation error 37.300000 %
epoch 126, minibatch 400/400, validation error 37.130000 %
epoch 127, minibatch 400/400, validation error 37.180000 %
epoch 128, minibatch 400/400, validation error 37.710000 %
epoch 129, minibatch 400/400, validation error 37.290000 %
epoch 130, minibatch 400/400, validation error 37.850000 %
epoch 131, minibatch 400/400, validation error 37.540000 %
epoch 132, minibatch 400/400, validation error 37.220000 %
epoch 133, minibatch 400/400, validation error 37.330000 %
epoch 134, minibatch 400/400, validation error 36.850000 %
     epoch 134, minibatch 400/400, test error of best model 37.530000 %
epoch 135, minibatch 400/400, validation error 37.010000 %
epoch 136, minibatch 400/400, validation error 36.740000 %
     epoch 136, minibatch 400/400, test error of best model 38.360000 %
epoch 137, minibatch 400/400, validation error 37.010000 %
epoch 138, minibatch 400/400, validation error 37.340000 %
epoch 139, minibatch 400/400, validation error 36.830000 %
epoch 140, minibatch 400/400, validation error 37.860000 %
epoch 141, minibatch 400/400, validation error 37.380000 %
epoch 142, minibatch 400/400, validation error 36.470000 %
     epoch 142, minibatch 400/400, test error of best model 38.420000 %
epoch 143, minibatch 400/400, validation error 37.140000 %
epoch 144, minibatch 400/400, validation error 37.600000 %
epoch 145, minibatch 400/400, validation error 37.270000 %
epoch 146, minibatch 400/400, validation error 36.960000 %
epoch 147, minibatch 400/400, validation error 37.350000 %
epoch 148, minibatch 400/400, validation error 37.440000 %
epoch 149, minibatch 400/400, validation error 36.770000 %
epoch 150, minibatch 400/400, validation error 37.520000 %
epoch 151, minibatch 400/400, validation error 36.980000 %
epoch 152, minibatch 400/400, validation error 36.620000 %
epoch 153, minibatch 400/400, validation error 36.660000 %
epoch 154, minibatch 400/400, validation error 37.570000 %
epoch 155, minibatch 400/400, validation error 36.890000 %
epoch 156, minibatch 400/400, validation error 37.060000 %
epoch 157, minibatch 400/400, validation error 36.430000 %
     epoch 157, minibatch 400/400, test error of best model 37.920000 %
epoch 158, minibatch 400/400, validation error 37.130000 %
epoch 159, minibatch 400/400, validation error 36.850000 %
epoch 160, minibatch 400/400, validation error 36.810000 %
epoch 161, minibatch 400/400, validation error 37.270000 %
epoch 162, minibatch 400/400, validation error 36.360000 %
     epoch 162, minibatch 400/400, test error of best model 37.730000 %
epoch 163, minibatch 400/400, validation error 36.560000 %
epoch 164, minibatch 400/400, validation error 36.650000 %
epoch 165, minibatch 400/400, validation error 37.310000 %
epoch 166, minibatch 400/400, validation error 37.100000 %
epoch 167, minibatch 400/400, validation error 37.120000 %
epoch 168, minibatch 400/400, validation error 36.570000 %
epoch 169, minibatch 400/400, validation error 36.890000 %
epoch 170, minibatch 400/400, validation error 37.140000 %
epoch 171, minibatch 400/400, validation error 36.990000 %
epoch 172, minibatch 400/400, validation error 36.820000 %
epoch 173, minibatch 400/400, validation error 36.650000 %
epoch 174, minibatch 400/400, validation error 37.260000 %
epoch 175, minibatch 400/400, validation error 36.630000 %
epoch 176, minibatch 400/400, validation error 36.870000 %
epoch 177, minibatch 400/400, validation error 37.300000 %
epoch 178, minibatch 400/400, validation error 36.690000 %
epoch 179, minibatch 400/400, validation error 37.110000 %
epoch 180, minibatch 400/400, validation error 36.450000 %
epoch 181, minibatch 400/400, validation error 36.900000 %
epoch 182, minibatch 400/400, validation error 37.140000 %
